,az_lons,co_lons,nm_lons,ut_lons,az_lats,co_lats,nm_lats,ut_lats
0,-114.63332,-109.04984,-103.55583,-114.04392,34.87057,38.215,32.00032,40.68928
1,-114.63349,-109.06017,-104.00265,-114.04391,35.00186,38.40118,32.00001,40.68985
2,-114.63423,-109.06015,-104.64165,-114.04375,35.00332,38.60929,32.00041,40.76026
3,-114.60899,-109.05655,-105.14679,-114.04195,35.07971,38.81393,32.0005,41.05548
4,-114.63064,-109.05305,-105.90075,-114.04061,35.11791,38.95788,32.00198,41.36
5,-114.57354,-109.05158,-106.55721,-114.04055,35.14231,39.11656,32.00076,41.59062
6,-114.58031,-109.05119,-106.63119,-114.0398,35.21811,39.22605,31.98981,41.89425
7,-114.61121,-109.05077,-106.62216,-114.04172,35.37012,39.36423,31.93601,41.99372
8,-114.6768,-109.05132,-106.63325,-114.0391,35.49125,39.56752,31.90997,41.99367
9,-114.66076,-109.05077,-106.61103,-113.80254,35.5417,39.79876,31.84661,41.98895
10,-114.65449,-109.05087,-106.54568,-113.64886,35.60517,40.03782,31.8054,41.99102
11,-114.68702,-109.05088,-106.52834,-113.49562,35.66942,40.18844,31.78318,41.99331
12,-114.69704,-109.05093,-106.52861,-113.36362,35.73579,40.2929,31.78328,41.99384
13,-114.70415,-109.05088,-106.53181,-113.20505,35.81412,40.41493,31.78391,41.99645
14,-114.67489,-109.05051,-106.55963,-113.10627,35.86436,40.50615,31.78394,41.99735
15,-114.70883,-109.04899,-106.56993,-112.96233,35.9167,40.68445,31.78395,41.99841
16,-114.74365,-109.04907,-106.60042,-112.83266,35.98542,40.87296,31.78399,41.99938
17,-114.73513,-109.05008,-106.61408,-112.78175,36.05493,41.00066,31.784,41.99973
18,-114.6729,-109.03134,-106.62967,-112.68558,36.11546,41.00051,31.78409,42.00021
19,-114.51122,-108.83854,-106.67613,-112.58229,36.15058,41.00013,31.78395,42.00054
20,-114.32346,-108.6996,-106.68194,-112.45023,36.10119,41.0001,31.78393,42.00099
21,-114.22646,-108.59802,-106.7505,-112.26534,36.01461,40.99996,31.78371,42.00111
22,-114.1139,-108.46524,-106.75874,-112.1985,36.09833,41.00008,31.78394,42.00116
23,-114.04404,-108.25764,-106.77057,-112.10309,36.21464,41.00011,31.78404,41.99763
24,-114.04338,-108.10567,-106.82052,-111.98965,36.37619,41.00139,31.78385,41.99834
25,-114.04736,-107.91411,-106.87555,-111.9304,36.60322,41.00205,31.78384,41.99861
26,-114.05014,-107.75063,-106.89949,-111.88098,36.817,41.00197,31.78379,41.99856
27,-114.0506,-107.55479,-106.93928,-111.82932,36.99997,41.00228,31.78378,41.99875
28,-114.0506,-107.35937,-106.96546,-111.73177,37.0004,41.00305,31.78381,41.99926
29,-114.05052,-107.27483,-106.98754,-111.51913,37.0004,41.00283,31.7837,41.99951
30,-113.94557,-107.12561,-106.99317,-111.4087,36.99998,41.00305,31.78369,42.00063
31,-113.86852,-106.9166,-106.99823,-111.26009,36.99998,41.00315,31.78367,42.00132
32,-113.62465,-106.59389,-106.99882,-111.14884,36.99998,41.00213,31.78367,42.00154
33,-113.4727,-106.32621,-107.00056,-111.04934,36.99998,40.99927,31.78355,42.00159
34,-113.32097,-106.06118,-107.12556,-111.04669,36.99998,40.997,31.78354,42.00157
35,-113.17698,-105.82273,-107.2773,-111.04682,36.99998,40.99701,31.78377,42.00034
36,-113.02079,-105.60473,-107.29766,-111.04631,37.00022,40.99722,31.78367,41.83664
37,-112.99281,-105.46928,-107.3093,-111.04601,37.00017,40.99766,31.78366,41.64119
38,-112.96895,-105.2756,-107.32402,-111.0458,37.00012,40.99818,31.78367,41.52149
39,-112.75086,-105.07514,-107.35469,-111.04611,37.00048,40.9983,31.78365,41.41513
40,-112.48455,-104.86787,-107.37629,-111.04648,37.00094,40.99826,31.78367,41.36572
41,-112.32985,-104.58704,-107.39716,-111.04667,37.00105,41.00153,31.78365,41.20441
42,-111.99142,-104.24506,-107.42244,-111.04688,37.00097,41.00162,31.7836,41.10318
43,-111.58602,-104.0535,-107.47074,-111.04686,37.00166,41.00139,31.78365,41.00917
44,-111.39598,-104.05325,-107.50261,-110.94406,37.00147,41.00141,31.78366,40.9976
45,-111.2523,-104.05153,-107.53069,-110.86384,37.00102,41.00153,31.78365,40.99725
46,-111.03957,-103.90732,-107.5835,-110.70521,37.00247,41.00166,31.78369,40.99635
47,-110.73783,-103.61529,-107.62497,-110.55878,37.00325,41.0017,31.78365,40.99635
48,-110.54945,-103.46471,-107.6266,-110.43401,37.00383,41.00185,31.78374,40.99485
49,-110.272,-103.30624,-107.62774,-110.34177,36.99828,41.00191,31.78374,40.99533
50,-110.13851,-103.00202,-107.62988,-110.25071,36.99845,41.00239,31.78374,40.99609
51,-109.83491,-102.88728,-107.63241,-110.14713,36.99831,41.00231,31.78374,40.99634
52,-109.43568,-102.76668,-107.63786,-110.0004,36.9991,41.00234,31.7837,40.99734
53,-109.26993,-102.55879,-107.64356,-109.90645,36.99926,41.00243,31.78371,40.99766
54,-109.04538,-102.38345,-107.65173,-109.75044,36.99908,41.00245,31.78371,40.99797
55,-109.04522,-102.23951,-107.66987,-109.67348,36.99908,41.00235,31.78368,40.99841
56,-109.04522,-102.12861,-107.70084,-109.63381,36.99897,41.00247,31.78368,40.9983
57,-109.04531,-102.05156,-107.70821,-109.51776,36.8531,40.97899,31.78368,40.99871
58,-109.04544,-102.05154,-107.75058,-109.43099,36.70384,40.9255,31.78361,40.99964
59,-109.04547,-102.05152,-107.7889,-109.30329,36.54513,40.87501,31.78363,41.00064
60,-109.04579,-102.05145,-107.84105,-109.05847,36.41637,40.82214,31.78365,41.00069
61,-109.04575,-102.05143,-107.86238,-109.05008,36.29154,40.75901,31.7836,41.00066
62,-109.04601,-102.05144,-107.8711,-109.04907,36.18724,40.71742,31.78359,40.87296
63,-109.04578,-102.05144,-107.88551,-109.04899,36.03128,40.69984,31.78359,40.68445
64,-109.04606,-102.0515,-107.90473,-109.05051,35.93088,40.65115,31.7836,40.50615
65,-109.04621,-102.0515,-107.964,-109.05088,35.81044,40.61334,31.78363,40.41493
66,-109.04636,-102.05152,-108.00059,-109.05093,35.65092,40.55651,31.78365,40.2929
67,-109.04662,-102.05131,-108.044,-109.05088,35.45859,40.48846,31.78361,40.18844
68,-109.04644,-102.05145,-108.05664,-109.05087,35.30697,40.31022,31.78357,40.03782
69,-109.04598,-102.05176,-108.07876,-109.05077,34.91388,40.1605,31.78351,39.79876
70,-109.04603,-102.05176,-108.08267,-109.05132,34.71264,40.01399,31.7835,39.56752
71,-109.04633,-102.05174,-108.1052,-109.05077,34.44558,40.00308,31.78353,39.36423
72,-109.04692,-102.05174,-108.15227,-109.05119,34.08446,40.00061,31.78357,39.22605
73,-109.047,-102.05139,-108.17096,-109.05158,33.71335,39.87098,31.78358,39.11656
74,-109.04691,-102.0506,-108.1986,-109.05305,33.3477,39.67645,31.78359,38.95788
75,-109.0474,-102.04955,-108.20839,-109.05655,33.07165,39.53889,31.7836,38.81393
76,-109.04762,-102.04907,-108.20844,-109.06015,32.70386,39.40853,31.74465,38.60929
77,-109.04764,-102.04875,-108.20841,-109.06017,32.40743,39.33572,31.72969,38.40118
78,-109.04811,-102.04802,-108.2084,-109.04984,32.1771,39.24305,31.72323,38.215
79,-109.04905,-102.04541,-108.20838,-109.0498,31.87069,38.84279,31.7194,38.21472
80,-109.04911,-102.04514,-108.20837,-109.04232,31.63698,38.66387,31.71733,38.10272
81,-109.05004,-102.04524,-108.2083,-109.04304,31.3325,38.59586,31.68878,37.97469
82,-109.0587,-102.04494,-108.20814,-109.04159,31.33252,38.52933,31.62561,37.7899
83,-109.25062,-102.04501,-108.20819,-109.04191,31.3338,38.47219,31.58935,37.5667
84,-109.30069,-102.04479,-108.20835,-109.04582,31.33396,38.41997,31.5608,37.35363
85,-109.33682,-102.04452,-108.20869,-109.04583,31.334,38.30634,31.52581,37.20443
86,-109.38186,-102.04447,-108.20855,-109.04519,31.33394,38.26504,31.50105,37.09597
87,-109.45105,-102.04431,-108.20852,-109.04531,31.33406,38.17556,31.4998,37.01706
88,-109.5287,-102.04456,-108.20849,-109.04522,31.33393,38.05734,31.47883,36.99908
89,-109.62562,-102.04402,-108.20839,-109.04538,31.33408,37.94303,31.42917,36.99908
90,-109.79302,-102.04286,-108.20848,-109.26993,31.33399,37.80941,31.37656,36.99926
91,-109.97582,-102.04166,-108.20854,-109.43568,31.33341,37.68749,31.3561,36.9991
92,-110.20503,-102.04179,-108.20857,-109.83491,31.33363,37.49347,31.3334,36.99831
93,-110.49327,-102.04178,-108.36757,-110.13851,31.33296,37.45597,31.3334,36.99845
94,-110.56918,-102.04192,-108.38904,-110.272,31.33299,37.3385,31.33341,36.99828
95,-110.65415,-102.04196,-108.44606,-110.54945,31.33305,37.22191,31.33347,37.00383
96,-110.77828,-102.04199,-108.47535,-110.73783,31.33363,37.10676,31.33344,37.00325
97,-110.87564,-102.0421,-108.53011,-111.03957,31.33328,36.99352,31.33336,37.00247
98,-110.93778,-102.04209,-108.61731,-111.2523,31.33281,36.99302,31.33329,37.00102
99,-110.94286,-102.04538,-108.65709,-111.39598,31.33283,36.99306,31.33323,37.00147
100,-110.97553,-102.05418,-108.70766,-111.58602,31.33257,36.99305,31.33319,37.00166
101,-111.12565,-102.07425,-108.71907,-111.99142,31.34898,36.99311,31.33307,37.00097
102,-111.24082,-102.09059,-108.72702,-112.32985,31.38586,36.99325,31.33298,37.00105
103,-111.29191,-102.17511,-108.73503,-112.48455,31.40231,36.99357,31.3329,37.00094
104,-111.32558,-102.19751,-108.73904,-112.75086,31.41305,36.99367,31.33285,37.00048
105,-111.3574,-102.24848,-108.7506,-112.96895,31.42333,36.9942,31.33273,37.00012
106,-111.38483,-102.26493,-108.75906,-112.99281,31.43196,36.99439,31.33261,37.00017
107,-111.44337,-102.29933,-108.82206,-113.02079,31.45068,36.99425,31.33226,37.00022
108,-111.47861,-102.34378,-108.86103,-113.17698,31.46195,36.99441,31.33232,36.99998
109,-111.49725,-102.35537,-108.88692,-113.32097,31.4678,36.99457,31.33231,36.99998
110,-111.53479,-102.40232,-109.00061,-113.4727,31.47995,36.99479,31.33217,36.99998
111,-111.56975,-102.49444,-109.05004,-113.62465,31.49099,36.99494,31.33224,36.99998
112,-111.62412,-102.52468,-109.05004,-113.86852,31.50825,36.99487,31.3325,36.99998
113,-111.66,-102.57091,-109.04911,-113.94557,31.51945,36.99513,31.63698,36.99998
114,-111.73365,-102.62547,-109.04905,-114.05052,31.54305,36.99504,31.87069,37.0004
115,-111.79498,-102.68337,-109.04811,-114.0506,31.56227,36.9952,32.1771,37.0004
116,-111.9182,-102.7059,-109.04764,-114.05187,31.6012,36.99557,32.40743,37.13439
117,-111.97172,-102.77324,-109.04762,-114.05264,31.61823,36.99885,32.70386,37.47222
118,-111.99115,-102.81507,-109.0474,-114.05198,31.62425,36.99977,33.07165,37.70735
119,-112.02937,-102.86545,-109.04691,-114.04939,31.63623,36.99959,33.3477,37.77873
120,-112.09379,-102.89315,-109.047,-114.05013,31.65645,36.99944,33.71335,37.95499
121,-112.13972,-102.9279,-109.04692,-114.04997,31.67094,36.99908,34.08446,38.20495
122,-112.15906,-102.97961,-109.04633,-114.04992,31.67701,36.99855,34.44558,38.55049
123,-112.21295,-102.98698,-109.04603,-114.04916,31.69377,36.99852,34.71264,38.75165
124,-112.32605,-103.00214,-109.04598,-114.04833,31.72891,37.0001,34.91388,38.90545
125,-112.39932,-103.0022,-109.04644,-114.04885,31.75165,37.0001,35.30697,39.08777
126,-112.43603,-103.01356,-109.04662,-114.04841,31.76301,37.00021,35.45859,39.23851
127,-112.52208,-103.26061,-109.04636,-114.04779,31.78954,36.99956,35.65092,39.36296
128,-112.57141,-103.53892,-109.04621,-114.0473,31.80473,36.99892,35.81044,39.45715
129,-112.63294,-103.92627,-109.04606,-114.04757,31.82357,36.99669,35.93088,39.61018
130,-112.67695,-104.17265,-109.04578,-114.04727,31.83702,36.99511,36.03128,39.75817
131,-112.72356,-104.49245,-109.04601,-114.04658,31.8513,36.99367,36.18724,39.99994
132,-112.75567,-104.76311,-109.04575,-114.04644,31.86132,36.9935,36.29154,40.09896
133,-112.8055,-105.15658,-109.04579,-114.04619,31.87666,36.99527,36.41637,40.30302
134,-112.83423,-105.50752,-109.04547,-114.04558,31.88514,36.99589,36.54513,40.4958
135,-112.8711,-105.6576,-109.04544,,31.89671,36.99578,36.70384,
136,-112.90863,-105.93761,-109.04531,,31.90787,36.99556,36.8531,
137,-113.20884,-106.15386,-109.04522,,31.99917,36.99469,36.99897,
138,-113.2279,-106.4654,-109.04522,,32.0054,36.99378,36.99908,
139,-113.30314,-106.61906,-109.04518,,32.02905,36.99303,36.99908,
140,-113.61086,-106.73137,-108.8978,,32.12566,36.99263,36.99885,
141,-113.78489,-106.89142,-108.7496,,32.17992,37.00014,36.99887,
142,-113.90756,-107.00562,-108.52833,,32.21797,37.00001,36.99927,
143,-113.97121,-107.25094,-108.20233,,32.2376,37.00001,36.99924,
144,-114.11135,-107.4121,-107.8669,,32.28088,37.0,37.0,
145,-114.20719,-107.49519,-107.49519,,32.31044,37.00001,37.00001,
146,-114.25559,-107.8669,-107.4121,,32.32538,37.0,37.0,
147,-114.28755,-108.20233,-107.25094,,32.33509,36.99924,37.00001,
148,-114.38472,-108.52833,-107.00562,,32.36468,36.99927,37.00001,
149,-114.61337,-108.7496,-106.89142,,32.43408,36.99887,37.00014,
150,-114.77804,-108.8978,-106.73137,,32.48373,36.99885,36.99263,
151,-114.81394,-109.04518,-106.61906,,32.49526,36.99908,36.99303,
152,-114.81518,-109.04522,-106.4654,,32.50602,36.99908,36.99378,
153,-114.80524,-109.04531,-106.15386,,32.50999,37.01706,36.99469,
154,-114.81037,-109.04519,-105.93761,,32.51839,37.09597,36.99556,
155,-114.81335,-109.04583,-105.6576,,32.52419,37.20443,36.99578,
156,-114.80551,-109.04582,-105.50752,,32.53277,37.35363,36.99589,
157,-114.80529,-109.04191,-105.15658,,32.54351,37.5667,36.99527,
158,-114.79282,-109.04159,-104.76311,,32.55396,37.7899,36.9935,
159,-114.79206,-109.04304,-104.49245,,32.56772,37.97469,36.99367,
160,-114.79555,-109.04232,-104.17265,,32.56625,38.10272,36.99511,
161,-114.81362,-109.0498,-103.92627,,32.56133,38.21472,36.99669,
162,-114.80894,,-103.53892,,32.57093,,36.99892,
163,-114.80404,,-103.26061,,32.58137,,36.99956,
164,-114.80093,,-103.01356,,32.5955,,37.00021,
165,-114.80804,,-103.0022,,32.60317,,37.0001,
166,-114.80891,,-103.0022,,32.61295,,37.00006,
167,-114.80192,,-103.00232,,32.6238,,36.9686,
168,-114.79518,,-103.00232,,32.62325,,36.95031,
169,-114.7819,,-103.00228,,32.6247,,36.91582,
170,-114.77309,,-103.00227,,32.63705,,36.91402,
171,-114.76427,,-103.00224,,32.65006,,36.90243,
172,-114.74805,,-103.00223,,32.66489,,36.89755,
173,-114.74638,,-103.00218,,32.66985,,36.86996,
174,-114.74505,,-103.00206,,32.67414,,36.81735,
175,-114.74456,,-103.00213,,32.6785,,36.76898,
176,-114.74203,,-103.00215,,32.68221,,36.74295,
177,-114.74,,-103.0021,,32.68517,,36.7193,
178,-114.73874,,-103.00214,,32.68732,,36.7013,
179,-114.73062,,-103.00218,,32.6986,,36.68525,
180,-114.72924,,-103.00237,,32.70545,,36.67653,
181,-114.72377,,-103.00218,,32.71192,,36.65329,
182,-114.71994,,-103.0023,,32.71829,,36.6278,
183,-114.71919,,-103.00226,,32.71943,,36.60265,
184,-114.69096,,-103.00223,,32.73946,,36.5919,
185,-114.63501,,-103.00226,,32.73137,,36.56927,
186,-114.58576,,-103.0023,,32.73487,,36.56386,
187,-114.46563,,-103.00233,,32.87408,,36.54875,
188,-114.48131,,-103.00233,,32.97206,,36.52963,
189,-114.62973,,-103.00228,,33.03255,,36.51475,
190,-114.68157,,-103.00228,,33.23376,,36.50609,
191,-114.72123,,-103.00245,,33.39691,,36.50046,
192,-114.61185,,-103.00243,,33.47131,,36.5004,
193,-114.5402,,-103.02394,,33.58709,,36.50042,
194,-114.49649,,-103.04133,,33.6969,,35.76515,
195,-114.52801,,-103.04249,,33.84446,,35.21202,
196,-114.51318,,-103.04239,,33.91285,,35.1362,
197,-114.49813,,-103.04283,,33.96372,,34.88888,
198,-114.4355,,-103.04312,,34.04257,,34.67259,
199,-114.35765,,-103.04338,,34.12866,,34.53564,
200,-114.26017,,-103.04362,,34.17212,,34.40999,
201,-114.14737,,-103.04374,,34.31087,,34.27181,
202,-114.29195,,-103.04376,,34.41527,,34.03983,
203,-114.38169,,-103.04993,,34.47903,,33.71754,
204,-114.44166,,-103.05727,,34.64288,,33.35051,
205,-114.48236,,-103.06464,,34.71453,,33.00011,
206,-114.56953,,-103.06478,,34.79181,,32.59516,
207,-114.63305,,-103.53275,,34.86997,,32.00034,
